#,,"generated_by='OpenQuake engine 3.11.5', start_date='2022-09-29T17:52:19', checksum=3422477514"
site_id,event_id,gmv_PGA
454,0,8.94402E-03
455,0,1.70148E-02
456,0,5.78937E-03
457,0,1.69368E-02
458,0,1.50003E-02
459,0,6.74107E-03
460,0,1.17077E-02
461,0,4.57024E-03
462,0,7.35815E-03
463,0,7.61702E-03
464,0,4.68420E-02
465,0,1.49528E-01
466,0,2.77456E-03
467,0,2.30832E-01
468,0,2.77050E-03
469,0,2.83035E-02
470,0,4.85977E-02
471,0,1.06611E-02
472,0,6.56214E-02
473,0,1.58662E-01
474,0,1.87733E-01
475,0,7.37120E-02
476,0,3.12817E-03
477,0,3.48854E-03
478,0,8.64591E-03
479,0,4.32934E-03
480,0,5.46754E-03
481,0,9.29894E-03
482,0,3.36121E-02
483,0,8.82515E-02
484,0,1.68564E-01
485,0,1.13978E-01
486,0,6.60781E-03
487,0,1.16784E-01
488,0,2.71994E-02
489,0,2.35895E-01
490,0,3.20637E-03
491,0,4.25524E-02
492,0,4.75302E-02
493,0,1.57950E-02
494,0,3.76335E-03
495,0,8.01941E-02
496,0,1.06995E-01
497,0,2.17469E-02
498,0,4.36800E-02
499,0,2.16231E-01
500,0,4.65901E-02
501,0,9.12931E-02
502,0,1.19209E-02
503,0,3.48617E-02
504,0,1.39732E-02
505,0,2.94104E-02
506,0,4.68149E-02
507,0,1.20847E-02
508,0,4.41196E-02
509,0,4.20154E-03
510,0,1.86248E-01
511,0,1.28227E-02
512,0,1.01175E-02
513,0,2.43400E-01
514,0,1.68008E-03
515,0,8.18812E-03
516,0,4.52876E-03
517,0,1.48855E-01
518,0,6.58078E-01
519,0,4.55246E-02
520,0,9.82222E-03
521,0,1.22188E-01
522,0,6.61506E-02
523,0,1.02824E-02
524,0,7.71046E-03
525,0,9.65937E-03
526,0,8.02427E-03
527,0,7.13815E-02
528,0,2.73136E-03
529,0,3.44352E-02
530,0,1.02493E-02
531,0,9.09298E-02
532,0,3.41339E-02
533,0,5.18049E-02
534,0,7.86748E-03
535,0,4.55048E-01
536,0,1.47259E-02
537,0,8.85143E-02
538,0,2.55754E-03
539,0,6.46500E-03
540,0,6.31878E-02
541,0,8.93064E-03
542,0,4.84205E-02
543,0,1.09051E-01
544,0,4.08065E-02
545,0,3.28157E-03
546,0,6.90166E-02
547,0,7.33814E-02
548,0,1.10019E-02
549,0,1.06207E-02
550,0,2.89773E-03
551,0,3.60375E-02
552,0,5.29079E-03
553,0,8.55057E-02
554,0,1.59341E-02
555,0,4.35622E-02
556,0,3.65251E-03
557,0,2.22589E-02
558,0,2.66820E-01
559,0,1.55322E-02
560,0,2.24398E-01
561,0,1.75886E-02
562,0,4.35676E-02
563,0,9.90557E-04
564,0,7.79117E-03
565,0,1.34490E-02
566,0,6.15670E-03
567,0,1.01008E-01
568,0,3.84188E-01
569,0,1.96930E-02
570,0,3.53988E-03
571,0,2.73758E-02
572,0,3.99555E-03
573,0,1.95894E-01
574,0,9.52749E-03
575,0,9.40155E-02
576,0,2.40096E-03
577,0,8.85521E-03
578,0,5.19940E-02
579,0,1.13672E-02
580,0,5.00642E-02
581,0,2.30518E-02
582,0,1.95117E-02
583,0,2.64264E-03
584,0,1.34647E-01
585,0,1.76887E-03
586,0,1.53963E-03
587,0,1.04531E-02
588,0,3.36748E-03
589,0,8.09913E-03
590,0,2.10977E-03
591,0,5.36367E-03
592,0,3.08043E-02
593,0,2.61435E-03
594,0,1.69306E-01
595,0,3.50463E-03
596,0,5.80429E-03
597,0,2.74256E-03
598,0,5.21679E-02
599,0,1.65667E-03
600,0,3.61621E-03
601,0,1.85754E-02
602,0,3.11857E-02
603,0,2.90679E-03
604,0,9.13371E-02
605,0,1.71253E-01
606,0,2.07667E-03
607,0,9.11048E-03
608,0,2.73504E-03
609,0,2.36919E-02
610,0,6.15321E-02
611,0,1.22149E-01
612,0,5.55010E-02
613,0,3.00621E-03
614,0,6.08696E-02
615,0,3.46169E-02
616,0,1.37728E-02
617,0,8.74695E-03
618,0,8.89772E-03
