site_id,lon,lat
469,26.51708,87.49820
470,26.51722,86.75803
471,26.51757,87.96084
472,26.51760,86.81064
473,26.51817,86.61856
474,26.51856,86.77732
475,26.51869,87.26473
476,26.51885,87.62337
477,26.51903,88.01489
478,26.51961,88.07209
479,26.52039,87.87836
480,26.52040,87.84192
481,26.52051,87.64815
482,26.52074,87.08261
483,26.52116,86.61034
484,26.52126,86.71236
485,26.52130,86.56108
486,26.52130,87.26968
487,26.52133,86.73049
488,26.52135,87.47912
489,26.52175,86.89301
490,26.52178,87.98229
491,26.52217,86.48248
492,26.52217,86.96943
493,26.52218,87.15326
494,26.52232,87.90495
495,26.52244,86.65544
496,26.52273,86.64760
497,26.52288,86.54885
498,26.52293,87.35255
499,26.52299,86.58091
500,26.52301,87.09240
501,26.52308,86.63528
502,26.52359,87.30557
503,26.52370,87.22234
504,26.52395,87.47201
505,26.52416,87.01029
506,26.52427,87.21369
507,26.52527,87.63970
508,26.52589,87.28626
509,26.52600,88.06257
510,26.52626,86.72179
511,26.52651,87.34086
512,26.52678,87.87485
513,26.52681,86.87899
514,26.52689,87.84031
515,26.52699,87.16561
516,26.52701,87.75153
517,26.52708,86.92858
518,26.52722,86.77008
519,26.52730,86.93731
520,26.52750,87.56026
521,26.52796,86.85844
522,26.52810,87.20257
523,26.52821,87.73021
524,26.52834,87.86247
525,26.52866,87.49086
526,26.52899,87.53549
527,26.52905,86.90988
528,26.52916,87.64679
529,26.52975,87.26426
530,26.52993,87.70163
531,26.53000,87.30288
532,26.53044,87.61801
533,26.53059,86.54057
534,26.53064,87.78139
535,26.53069,86.81210
536,26.53081,87.58490
537,26.53088,86.69398
538,26.53088,88.10267
539,26.53102,87.39671
540,26.53105,87.18440
541,26.53119,87.60566
542,26.53161,86.61423
543,26.53212,86.63087
544,26.53242,87.09339
545,26.53245,87.89335
546,26.53263,86.70256
547,26.53281,86.99735
548,26.53320,87.46594
549,26.53339,87.65008
550,26.53354,88.09009
551,26.53423,87.23959
552,26.53423,87.80114
553,26.53442,86.62042
554,26.53455,87.58223
555,26.53474,87.01752
556,26.53484,87.64154
557,26.53525,86.59809
558,26.53536,86.75249
559,26.53549,87.38304
560,26.53550,86.83830
561,26.53551,87.13939
562,26.53580,86.93851
563,26.53660,87.96916
564,26.53676,87.50784
565,26.53693,87.42328
566,26.53694,87.62762
567,26.53706,86.66920
568,26.53717,86.81339
569,26.53734,87.17144
570,26.53740,87.97541
571,26.53760,87.27865
572,26.53762,87.82524
573,26.53766,86.72846
574,26.53782,87.78925
575,26.53821,87.08217
576,26.53837,87.84871
577,26.53852,87.92922
578,26.53860,87.00966
579,26.53887,87.29134
580,26.53982,86.55959
581,26.53995,87.64215
582,26.54030,87.23633
583,26.54030,87.98149
584,26.54037,86.89901
585,26.54055,88.11832
586,26.54083,87.96093
587,26.54091,87.22767
588,26.54113,87.66921
589,26.54116,87.33260
590,26.54125,87.90274
591,26.54148,87.86023
592,26.54156,87.01007
593,26.54167,88.00184
594,26.54173,86.62507
595,26.54185,87.94960
596,26.54189,87.84226
597,26.54201,87.81362
598,26.54216,86.93189
599,26.54242,87.83384
600,26.54252,87.68327
601,26.54266,87.15653
602,26.54302,86.56130
603,26.54305,87.67912
604,26.54310,86.79241
605,26.54314,86.78062
606,26.54315,87.99251
607,26.54364,87.44587
608,26.54397,88.10889
609,26.54402,87.27070
610,26.54405,86.74004
611,26.54425,86.95386
612,26.54433,86.53294
613,26.54468,87.65350
614,26.54469,86.45273
615,26.54478,87.32416
616,26.54480,87.09461
617,26.54489,87.40202
618,26.54493,87.75913
619,26.54494,87.11829
620,26.54504,86.96362
621,26.54516,86.52175
622,26.54542,87.03490
623,26.54546,86.94653
624,26.54560,86.85788
625,26.54566,88.07600
626,26.54631,87.64588
627,26.54665,87.43735
628,26.54674,86.65589
629,26.54757,86.90975
630,26.54784,87.14866
631,26.54788,86.84575
632,26.54793,87.87234
633,26.54801,87.30065
634,26.54808,88.10307
